plant,species,ontogeny,total,heteroblasty,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15
Psub13,suberosa,6,14,9,-17.07398307,187.1025593,-22.27001129,180.406941,-10.0371405,169.4297669,9.119811377,168.3473668,18.93624585,180.5754898,15.11755047,191.8772707,-402.564174,215.9956879,-485.9665052,173.8672155,-1195.21867,-102.9730245,-261.6991305,-168.8001296,114.219526,-1263.019035,248.9693359,-152.782199,1079.717071,-65.80948298,498.5686046,122.1778915,410.1814694,163.6036817
Psub13,suberosa,7,14,8,-15.28349089,214.7031346,-20.7200485,208.5260346,-17.76459481,189.7550289,9.035556271,192.5435091,20.73424139,204.1195694,11.48214432,218.6942776,-417.6693108,227.0268969,-474.4481133,192.8698531,-1128.74722,-277.6121125,-265.8979157,-147.6976107,18.28972525,-1347.282749,253.4867567,-127.1150828,1056.134044,-161.4540028,522.1321977,194.8873685,449.2360285,218.0358852
Psub13,suberosa,8,14,7,-26.54164837,245.8773171,-32.98642524,237.1659962,-22.45982471,218.1634764,6.59323058,216.186074,10.81171755,233.9844897,6.857169543,242.1942904,-463.7696182,228.2869104,-545.3556693,177.0418488,-1057.080433,-313.9192273,-321.0241137,-125.7702323,65.06716564,-1305.245907,287.4764781,-117.8984242,1080.842353,-342.8787046,546.9723892,168.5660529,464.597229,238.2460391
Psub13,suberosa,9,14,6,-28.19885008,228.2214074,-25.76437617,218.8550532,-18.38355739,196.0835128,10.54694636,195.4507816,13.95006548,215.7954121,13.01006865,225.6267355,-472.8699357,208.7771976,-539.0106554,168.5098117,-1043.869853,-339.3025974,-255.2990964,-166.6248221,-110.2179707,-1271.5696,305.0894007,-152.9436483,1126.879297,-242.988894,543.0536595,234.7274143,481.0848574,281.3822355
Psub2,suberosa,1,7,7,-10.06683695,214.8903841,-14.08543947,206.723431,-4.708454232,196.064083,16.11274633,191.2918655,24.89332172,205.8901986,19.39088649,215.938882,-269.206268,101.0092598,-344.2292827,67.64619304,-1115.065365,-329.6487413,-63.10020608,67.97853229,-71.83078545,-1298.953626,85.40680737,66.22668409,1095.480541,-168.9053713,371.72984,114.0645148,279.2784952,149.7837102
Psub2,suberosa,2,7,6,-26.21634319,195.860845,-26.85500259,184.7220507,-20.48718492,167.1005271,-2.311819027,166.4290357,10.08699851,184.5496831,3.678140938,193.3754922,-276.7107516,173.5735836,-340.1548081,149.2410702,-1169.102467,-307.7966211,-150.8896762,-6.449967778,-12.23780059,-1206.858487,141.0952149,-14.84906425,1195.628835,-223.8344303,363.5680196,160.0310211,310.9086441,184.9052613
Psub2,suberosa,3,7,5,-15.85845868,113.2008304,-19.08417174,104.3166403,-11.00117191,89.38281823,4.745367339,88.1797856,9.582281444,103.524272,6.346486954,114.0196624,-285.1584919,121.539307,-346.925234,110.6061584,-1178.986825,15.69783243,-136.0853437,-56.43308796,17.04867603,-1055.613316,103.7331845,-49.04098768,1219.230592,27.84642238,350.7321031,125.503775,281.6810059,147.269888
Psub2,suberosa,4,7,4,-40.40450021,119.6698917,-45.55195514,109.1162105,-28.77989065,96.06757659,-11.44720772,97.4664992,5.463261182,109.9453806,-0.839393842,120.0638895,-286.9697309,86.25482725,-365.9956494,63.27656511,-1215.374135,-275.2852467,-121.7162624,-57.27561281,-23.28089287,-369.8022653,117.7620369,-51.50314784,1277.33064,-253.7886016,408.5738714,92.71481315,331.2298083,113.0792206
Psub2,suberosa,5,7,3,-25.1565766,94.00368974,-36.64000341,85.65119326,-20.5830981,67.39956711,4.986778109,66.93132138,24.25813392,85.00180908,15.91670223,98.84012202,-394.9002289,166.5578546,-479.7915633,146.8050091,-1248.120208,-83.43760129,-259.5706444,-213.6724601,4.855930225,-614.7528017,265.4098857,-196.176082,1243.358115,-31.61020051,489.2949766,157.9867025,416.6818012,170.4718768
Psub2,suberosa,6,7,2,-26.55453235,122.4916625,-37.19148413,113.9140611,-23.44053344,94.29777497,-3.090650499,91.68448013,18.18409975,108.8396917,6.766976659,121.1417794,-483.6611547,161.8098534,-544.3789221,137.4734979,-1199.11145,-92.83194157,-327.0634424,-243.0334846,5.647577464,-646.0603043,336.7133222,-232.7998134,1233.026108,-108.3915477,566.3848339,159.0919199,477.7692514,212.3723707
